column,data_type,num_unique,num_missing,highest_freq,highest_val,lowest_val,mean,std_dev
person_age,int64,56,0,23,94.0,20.0,27.74252902734598,6.218712788316358
person_income,int64,4129,0,60000,2039784.0,4000.0,66501.6839350295,52752.156210712164
person_home_ownership,object,4,0,RENT,,,,
person_emp_length,float64,35,0,0.0,41.0,0.0,4.782850072964913,4.037342776451886
loan_intent,object,6,0,EDUCATION,,,,
loan_grade,object,7,0,A,,,,
loan_amnt,int64,749,0,10000,35000.0,500.0,9663.771334306199,6334.787700491301
loan_int_rate,float64,348,3027,10.99,23.22,5.42,11.045219863133884,3.2307863877958916
loan_status,int64,2,0,0,1.0,0.0,0.21594441977031914,0.41148244039942167
loan_percent_income,float64,77,0,0.1,0.83,0.0,0.16965801662331073,0.10629578956955339
cb_person_default_on_file,int64,2,0,0,1.0,0.0,0.1780978364316985,0.3826011512612192
cb_person_cred_hist_length,int64,29,0,2,30.0,2.0,5.816096694372185,4.063621573085275
